horizon,coefficient,std_error,ci_low,ci_high,p_value,nobs
1,-0.0008994870839373656,0.0010910517275545498,-0.0030379484699442835,0.0012389743020695522,0.4096997996078404,1315
2,-0.0013078181975327203,0.0014537555247096884,-0.004157179025963709,0.0015415426308982689,0.36832593308423167,1314
3,-0.0010831702097686224,0.002129963388529772,-0.005257898451286975,0.0030915580317497308,0.6110751461763625,1313
4,-0.0013635918581267861,0.0031020503829663425,-0.007443610608740818,0.004716426892487245,0.6602430682954894,1312
5,0.0014786713160685368,0.004262190901025248,-0.0068752228499409495,0.009832565482078023,0.7286457717234518,1311
6,0.0029619547656319204,0.005786761309855418,-0.008380097401684699,0.014304006932948539,0.6087558741726613,1310
7,0.002153723351566981,0.00444872486987777,-0.006565777393393447,0.010873224096527408,0.6282996445417707,1309
8,0.0027472331480013572,0.00435101962251066,-0.005780765312119535,0.01127523160812225,0.5277791124202966,1308
9,0.00016065280119809144,0.0035005792517209724,-0.006700482532175015,0.007021788134571197,0.9633953701015279,1307
10,0.0010138945271642782,0.004634280852580737,-0.008069295943893965,0.010097084998222523,0.8268203240578214,1306
11,0.0010305516355096649,0.004962697438796189,-0.008696335344530865,0.010757438615550195,0.8354947848887863,1305
12,0.0010177772033201902,0.0050179620284749584,-0.008817428372490728,0.010852982779131107,0.8392704064065009,1304
13,0.001608767983355626,0.0050076163899908524,-0.008206160141026445,0.011423696107737698,0.7480101672127277,1303
14,0.0025719583882507164,0.005606347672685715,-0.008416483050213284,0.013560399826714718,0.6464077608490835,1302
15,0.004747319832139702,0.0068143597732570295,-0.008608825323444078,0.01810346498772348,0.4860130293939785,1301
16,0.004807089726397195,0.0067759994713148105,-0.008473869237379833,0.018088048690174222,0.4780583702671163,1300
17,0.005639202635885716,0.007476678003884741,-0.009015086251728376,0.02029349152349981,0.4507056835751764,1299
18,0.004729956991279458,0.006805559715853801,-0.008608940051793992,0.018068854034352908,0.4870467387347346,1298
19,0.004502817190712532,0.007342996710482522,-0.00988945636183321,0.018895090743258274,0.5397358568052268,1297
20,0.003789697173308076,0.007713183133809189,-0.011328141768957934,0.018907536115574088,0.6231949989279397,1296
