horizon,excess_return_response_to_sentiment_shock,selected_lag
0,0.029010874075856924,6
1,-0.048763939720565475,6
2,-0.03489260614063438,6
3,-0.024198699012312315,6
4,-0.04046402166343467,6
5,0.08907039718320914,6
6,0.035420123899153534,6
7,0.012292393136220181,6
8,0.005236617531015944,6
9,0.001100535285086859,6
10,0.010988641816156433,6
11,0.0011403810611690592,6
12,0.0010712995943614662,6
13,0.0009361041865184693,6
14,0.001802779093696804,6
15,0.002461397643733062,6
16,0.0018231344944425348,6
17,0.0017933685779605835,6
18,0.0015897232132756945,6
19,0.0015336583959672904,6
20,0.0014322913983525916,6
