horizon,coefficient,std_error,p_value,nobs
0,0.0,0.0,,1784
1,-0.0014604487260482626,0.00252577518920672,0.5631169349663224,1783
2,-0.002303908395847223,0.003098185323700981,0.45709940256762216,1782
3,-0.0031936574292511202,0.0043766102680730815,0.4655673065394643,1781
4,-0.0032330048929799012,0.005859128727230882,0.5810926776392433,1780
5,0.0033105331554406396,0.00761166379589459,0.6636139799856107,1779
6,0.0066646156476510695,0.010561926729850398,0.5280380555332451,1778
7,0.006352279296613647,0.007818747155202867,0.416538001767332,1777
8,0.006697827769460472,0.00852044607612225,0.4318154283715392,1776
9,0.0023772593416450313,0.007596107428112434,0.7543128962850941,1775
10,0.005568815004098528,0.009216629387530527,0.5457014827787325,1774
11,0.005461931383454384,0.010613322857134056,0.6068117920613273,1773
12,0.005608695114832085,0.010131565365300221,0.5798620492840452,1772
13,0.006391229170573408,0.010533235843151417,0.5440049677714003,1771
14,0.009070560456888319,0.012057247041313142,0.45187597812287883,1770
15,0.010872961134845338,0.013725745406198073,0.428268465237046,1769
16,0.010740995201554318,0.014318909758459609,0.4531784558027885,1768
17,0.015069775132535934,0.016313640329674653,0.3556149008388747,1767
18,0.013542672494678198,0.01517177803259384,0.37205929312213604,1766
19,0.0125312358481503,0.016105815681803602,0.4365356591718741,1765
20,0.012586098655670582,0.018001276782275522,0.4844407296198935,1764
