target,feature_set,ensemble,mode,coverage,observations,accuracy,balanced_accuracy,f1,positive_share
extreme_relative_5d,technical_global_events,logistic+hist_gradient_boosting+extra_trees,high_confidence_direction,0.05,1577,0.5453392517438174,0.5459632274876942,0.5678119349005425,0.49461001902346224
extreme_relative_5d,technical_global_events,logistic+hist_gradient_boosting+extra_trees,high_confidence_direction,0.1,3155,0.5419968304278923,0.5416795260047965,0.5756240822320118,0.5020602218700475
extreme_relative_5d,technical_global_events,logistic+hist_gradient_boosting+extra_trees,high_confidence_direction,0.15,4733,0.5389816184238326,0.5386432748538011,0.579414032382421,0.5017959011197972
extreme_relative_5d,technical_global_events,logistic+hist_gradient_boosting+extra_trees,high_confidence_direction,0.2,6311,0.546189193471716,0.5455276616087964,0.5894495412844036,0.5032482966249405
extreme_relative_5d,technical_global_events,logistic+hist_gradient_boosting+extra_trees,high_confidence_direction,0.3,9467,0.5458962712580543,0.5456166702059184,0.5899074692359058,0.5013203760430971
extreme_relative_5d,technical_global_events,logistic+hist_gradient_boosting+extra_trees,high_confidence_direction,0.5,15779,0.545028202040687,0.5433150915725251,0.5910566790088294,0.5082704860891057
extreme_relative_5d,technical_global_events,logistic+hist_gradient_boosting+extra_trees,high_confidence_direction,1.0,31559,0.5329699927120631,0.5309442612938147,0.5705544710235716,0.5139262967774645
volatility_jump_5d,technical_events,logistic+extra_trees,high_confidence_direction,0.05,2603,0.9446792162888974,0.5167785234899329,0.06493506493506493,0.05724164425662697
volatility_jump_5d,technical_events,logistic+extra_trees,high_confidence_direction,0.1,5206,0.911256242796773,0.5847051363348129,0.27586206896551724,0.09124087591240876
volatility_jump_5d,technical_events,logistic+extra_trees,high_confidence_direction,0.15,7809,0.8757843513894225,0.7004863834927302,0.49584199584199584,0.13215520553207838
volatility_jump_5d,technical_events,logistic+extra_trees,high_confidence_direction,0.2,10412,0.837014982712255,0.7409420500907159,0.5521245711269465,0.16855551286976567
volatility_jump_5d,technical_events,logistic+extra_trees,high_confidence_direction,0.3,15618,0.7750032014342425,0.7419600338388651,0.5546261089987325,0.2041874759892432
volatility_jump_5d,technical_events,logistic+extra_trees,high_confidence_direction,0.5,26030,0.6866308106031502,0.7007552393452765,0.519299899817314,0.2327698809066462
volatility_jump_5d,technical_events,logistic+extra_trees,high_confidence_direction,1.0,52061,0.6020629645992202,0.6313727327418417,0.45353591305953417,0.24010295614759608
volatility_jump_5d,technical_events,logistic+hist_gradient_boosting+extra_trees,high_confidence_direction,0.05,2603,0.9481367652708413,0.5,0.0,0.051863234729158665
volatility_jump_5d,technical_events,logistic+hist_gradient_boosting+extra_trees,high_confidence_direction,0.1,5206,0.9254706108336535,0.5110348404369209,0.04433497536945813,0.07548981943910872
volatility_jump_5d,technical_events,logistic+hist_gradient_boosting+extra_trees,high_confidence_direction,0.15,7809,0.9125368164937893,0.5271086867633986,0.10951760104302477,0.08349340504546036
volatility_jump_5d,technical_events,logistic+hist_gradient_boosting+extra_trees,high_confidence_direction,0.2,10412,0.8967537456780638,0.556407447973713,0.20074349442379183,0.09565885516711486
volatility_jump_5d,technical_events,logistic+hist_gradient_boosting+extra_trees,high_confidence_direction,0.3,15618,0.8557433730311179,0.625987983731468,0.36979020979020977,0.13657318478678449
volatility_jump_5d,technical_events,logistic+hist_gradient_boosting+extra_trees,high_confidence_direction,0.5,26030,0.7928543987706492,0.654765063131368,0.43926788685524126,0.18682289665770266
volatility_jump_5d,technical_events,logistic+hist_gradient_boosting+extra_trees,high_confidence_direction,1.0,52061,0.6858685004129771,0.6169903854806502,0.42549005831518305,0.24010295614759608
