horizon,return_response_to_policy_shock,selected_lag
0,0.08740287472685652,4
1,-0.03966568125687631,4
2,-0.0250389651797936,4
3,-0.031228096390787226,4
4,-0.0019598221571523384,4
5,0.0029704224967389073,4
6,-0.0012202117685809711,4
7,0.003197715012681885,4
8,0.0011907122307323096,4
9,0.0010263787243560123,4
10,0.0016297956848467575,4
11,0.0019068764256808858,4
12,0.0023827551257676032,4
13,0.0026582478960211734,4
14,0.0029276466623894114,4
15,0.003177255724246467,4
16,0.0033751957870260326,4
17,0.0035718185675443197,4
18,0.003752687543706035,4
19,0.003918409565345031,4
20,0.004069835718042385,4
